word,translation
Hanno detto che a loro piaceva la pioggia.,They said they liked rain.
Io sono vicino al ponte.,I am close to the bridge.
Mi sento molto forte.,I feel very strong.
Lo potremmo chiedere a lei.,We could ask her.
Loro hanno trovato qualcosa?,Did they find anything?
"Per favore, entra nel mio ufficio.",Please enter my office.
Perché odiate i gatti?,Why do you hate cats?
Questi cani sono tuoi?,Are these dogs yours?
Vuoi sapere il perché?,Do you want to know why?
Penso che tu sappia la risposta.,I think you know the answer.
Mary disse che aveva tre cani a casa.,Mary said she had three dogs at home.
Non dovreste andare in bici sul marciapiede.,You shouldn't ride a bicycle on the sidewalk.
Perché non l'ha fatto oggi?,Why didn't you do that today?
Tom versò il vino in tre bicchieri.,Tom poured wine into three glasses.
Mary era preoccupata per quello.,Mary was worried about that.
"È irritabile, vero?","He's cranky, isn't he?"
Io non ho raggiunto alcuna conclusione.,I haven't reached any conclusions.
Gioco occasionalmente a golf.,I occasionally play golf.
Sei riuscito ad arrivare in tempo?,Were you able to get there in time?
Non posso parlare con te in questo momento.,I can't talk to you right now.
Queste informazioni sono vere?,Is this information true?
Lei è innamorata del suo migliore amico.,She's in love with her best friend.
Volete che parli con Tom?,Do you want me to talk to Tom?
Sarò impegnata questo pomeriggio.,I'll be busy this afternoon.
Li ho convinti a partecipare.,I convinced them to participate.
Avresti dovuto completarlo molto tempo fa.,You should have completed it long ago.
Lei abita al Cairo.,You live in Cairo.
Noi vendiamo fiori e semi.,We sell flowers and seeds.
Non so cosa volesse dire.,I don't know what that meant.
Voleva dimenticarsi di lei.,He wanted to forget her.
Assomiglia a suo padre in un qualche modo.,She resembles her father somewhat.
Le famiglie dovrebbero abitare assieme.,Families should live together.
Dà da mangiare al cane.,He feeds the dog.
Finalmente raggiungemmo l'Inghilterra.,"At last, we reached England."
Tom ha cominciato a sentirsi a disagio.,Tom began to feel uneasy.
Sono più anziane di lui.,They're older than him.
Tom intendeva visitare Boston il mese scorso.,Tom intended to visit Boston last month.
Mia madre amava il tennis.,My mother used to love tennis.
Dovresti combinare la teoria con la pratica.,You should combine theory with practice.
"La prossima volta, dimmela in faccia.","Next time, say it to my face."
Farò un po' di pasta.,I'll make some pasta.
Ziri e Rima avevano bisogno di Silya.,Ziri and Rima needed Silya.
Dovrà iniziare immediatamente.,You'll have to start at once.
La tua vita sembra perfetta.,Your life seems perfect.
Questo è prezioso?,Is this valuable?
Chiedete a Tom e Mary se lo faranno.,Ask Tom and Mary if they'll do that.
Potrei non superare l'esame.,I might not pass the exam.
Io e Tom abbiamo corso.,Tom and I ran.
Dove l'ha nascosto?,Where did you hide it?
Sento il rumore.,I hear the noise.
Tom pagò la cassiera.,Tom paid the cashier.
Io so dove guardare.,I know where to look.
Il cambiamento sta arivando.,Change is coming.
Devo soltanto trovarla.,I just need to find her.
Sono ancora piuttosto nervoso.,I'm still kind of nervous.
Ha avuto diverse avventure extraconiugali.,He had several extramarital affairs.
Io lavoravo in Australia.,I used to work in Australia.
Amo quella storia.,I love that story.
Mary non aveva preoccupazioni.,Mary wasn't worried.
Non posso andare da nessuna parte.,I can't go anywhere.
Tom mentì riguardo a tutto.,Tom lied about everything.
La fine è in vista.,The end is in sight.
I miei figli hanno fame.,My children are hungry.
Perché non state mangiando il vostro sandwich?,Why aren't you eating your sandwich?
Tua madre sarebbe stata molto orgogliosa di te.,Your mother would've been very proud of you.
Lui è fiero di essere un medico.,He is proud of being a doctor.
Di solito dorme sulla schiena.,She usually sleeps on her back.
Un abbraccio da parte sua mi renderebbe felice.,A hug from you would make me happy.
È un maniaco sessuale.,He's a sex maniac.
Firmò la petizione.,He signed the petition.
Ve l'ho detto che non volevo del caffè.,I told you I didn't want any coffee.
Le persone lasceranno Yanni.,People are going to leave Yanni.
Hai visto il mio libro?,Have you seen my book?
Non posso lasciarli.,I can't leave them.
Ha detto che si sentiva un po' nervosa.,She said she felt a little nervous.
"Tom e Mary sono sposati, vero?","Tom and Mary are married, aren't they?"
A volte non capisco la biologia.,Sometimes I don't understand biology.
Vorrei che voi veniste con me.,I would like you to come with me.
Tom ha dato le dimissioni a inizio ottobre.,Tom resigned in early October.
È una bottiglia d'acqua.,It's a bottle of water.
Tom non si riesce a fermare ora.,Tom can't stop now.
Tom ha detto qualcosa.,Tom said something.
Dove eravate un'ora fa?,Where were you an hour ago?
Abitiamo vicino a una grande biblioteca.,We live near a big library.
Si è quasi decisa.,She's almost made up her mind.
Tom fece accidentalmente cadere un uovo sul pavimento.,Tom accidentally dropped an egg on the floor.
Te l'ho detto che stavo uscendo.,I told you I was going out.
Hanno cercato di nascondere la loro rabbia.,They tried to hide their anger.
Perché hanno litigato?,Why did they argue?
"Mary è spericolata, vero?","Mary is reckless, isn't she?"
Babbo Natale era in piedi nel giardino.,Santa Claus was standing in the garden.
Lo terrò se non vi dispiace.,I'll keep that if you don't mind.
Non puoi ucciderci entrambi.,You can't kill us both.
Non la voglio scordare.,I don't want to forget it.
Io bevo del latte quasi ogni giorno.,I drink milk almost every day.
"Un'altra birra per Tom, per piacere.","Another beer for Tom, please."
Sto ancora pensando a lui.,I'm still thinking about him.
Voi volevate questo?,Did you want this?
Penso che questa sia meglio.,I think this one's better.
Indossiamo uniformi nella nostra scuola.,We wear uniforms at our school.
Chiama tua madre.,Call your mother.
I miei occhi sono stanchi.,My eyes are tired.
Mary ha provato a nascondere la sua rabbia.,Mary tried to hide her anger.
Penso che abbiamo molto in comune.,I think we have a lot in common.
Le mie scarpe sono troppo piccole.,My shoes are too small.
Io non sono allergica alla penicillina.,I am not allergic to penicillin.
John vive al di sopra delle sue possibilità.,John lives above his means.
Venite al mio concerto?,Are you coming to my concert?
Voglio visitare Boston un giorno.,I want to visit Boston someday.
Tom ha fatto alcune cose non convenzionali.,Tom has done some unconventional things.
Mary mi prestò il suo ombrello.,Mary lent me her umbrella.
Non dovreste bere l'acqua stagnante.,You shouldn't drink stagnant water.
"Qual è il problema, Tom?","What's the problem, Tom?"
Mary non riusciva a riposare.,Mary couldn't rest.
Il pappagallo è scappato dalla gabbia.,The parrot escaped from the cage.
Sami sembra strano.,Sami looks weird.
Hai aspettato molto tempo?,Did you wait a long time?
Ziri ha comprato una scatola di biscotti.,Ziri bought a box of cookies.
Johanas arrivò con suo fratello.,Johanas arrived with his brother.
Lo riconosco quel tipo.,I recognize that guy.
Io non so cosa voglio fare.,I don't know what I want to do.
La polizia recuperò il denaro rubato.,The police recovered the stolen money.
"Per favore, diteglielo.",Please tell him.
È sicuro che sia sua?,Are you sure it's his?
Tom arriva sempre qua in orario.,Tom always gets here on time.
Sono sicura che siete molto occupati.,I'm sure you're very busy.
Mary ha ammesso che era stata sconfitta.,Mary admitted she'd been defeated.
Che splendida idea!,What a splendid idea!
Ti piace il piano?,Do you like the piano?
Layla vede soltanto una soluzione.,Layla only sees one solution.
Tom gestisce un negozio di torte.,Tom runs a cake shop.
Il rock and roll è la mia vita.,Rock and roll is my life.
Non riusciamo a fare niente per loro.,We can't do anything for them.
La vostra valigia sembra pesante.,Your suitcase looks heavy.
Non voleva abbracciarla.,He didn't want to hug her.
Comprai una vecchia lampada.,I bought an old lamp.
È in TV.,He's on TV.
"Dove ti ha baciata? ""Sulle labbra.""","Where did he kiss you? ""On my lips."""
Tom pensa che sia divertente.,Tom thinks it's funny.
Quel ragazzo ha una discreta reputazione.,That boy has quite a reputation.
Tom ha visitato il museo con Mary.,Tom visited the museum with Mary.
Incontriamoci nella biblioteca.,Let's meet in the library.
Io non lo so se Tom può aiutare.,I don't know if Tom can help.
Bob ruppe la spina dorsale di Tom.,Bob broke Tom's spine.
Voglio una torta blu.,I want a blue cake.
Successe la notte di Halloween.,It happened on Halloween night.
"Vengo da Algeri, in Algeria.","I am from Algiers, Algeria."
È la teoria.,That's the theory.
Io voglio vederlo ad ogni costo.,I want to see him at all costs.
Lo sviluppo economico procedeva lentamente.,Economic development proceeded slowly.
Ha ordinato del caffè?,Did you order coffee?
Mary mi disse che trovò qualcosa.,Mary told me she found something.
Mettetelo sul conto di mio padre.,Put it on my father's account.
Questa è l'automobile di mio zio.,This is my uncle's car.
Ero troppo spaventata per chiedere.,I was too scared to ask.
E neanche una singola persona andò.,And not a single person went.
I ghepardi non si possono arrampicare sugli alberi.,Cheetahs cannot climb trees.
Ha i sintomi?,Do you have the symptoms?
"Per piacere, bussi alla porta.",Please knock on the door.
Potresti farmi un massaggio alla schiena?,Could you give me a back massage?
Hai mai visto Tom usare un martello?,Have you ever seen Tom use a hammer?
Non l'hanno capita.,They didn't understand her.
Sono consapevole che stare con me è difficile.,I'm aware that being with me is difficult.
Perché sei andata a casa?,Why did you go home?
Potreste vivere in questa città?,Could you live in this city?
Tom ha lasciato Boston.,Tom has left Boston.
Chieda a Trang se esce stasera.,Ask Trang if she's going out tonight.
Li abbiamo assassinati.,We murdered them.
Possiamo vederci stanotte?,Can I see you tonight?
Voi conoscete il nome completo di Tom?,Do you know Tom's full name?
Li lasci venire tutti.,Let them all come.
Tom è un grande attore.,Tom's a great actor.
La minestra è molto calda.,The soup's very hot.
Cosa ne pensa di questo vino?,What do you think of this wine?
Vuole salvare il pianeta.,She wants to save the planet.
Ho scordato di comprare il latte.,I forgot to buy milk.
Non vi ho dimenticate.,I haven't forgotten you.
La resistenza è inutile.,Resistance is futile.
Io ho uno stile di vita ordinario.,I have an orderly lifestyle.
"Venni qua per imparare, non per insegnare.","I came here to learn, not to teach."
Perderete il treno.,You will miss the train.
Ha detto che era annoiata.,She said that she was bored.
"Oh mamma, mi capita di nuovo.","Oh boy, there I go again."
Mi sento davvero appesantito da tutto questo.,I'm feeling really weighed down by it all.
Colpii una gatta.,I hit a cat.
Io non posso farlo oggi.,I can't do it today.
Tom ignorò i nostri avvertimenti.,Tom ignored our warnings.
Non ti preoccupare. So esattamente cosa sto facendo.,Don't worry. I know exactly what I'm doing.
Quanto spesso lo fa Tom?,How often does Tom do that?
Chiesi loro di farlo per me.,I asked them to do it for me.
I risultati erano spettacolari.,The results were spectacular.
Tom fece aspettare Mary per molto tempo.,Tom made Mary wait for a long time.
Hanno detto che erano preoccupate.,They said that they were worried.
Sembro più vecchia.,I look older.
Sami non riusciva a sollevare quella scatola.,Sami couldn't lift that box.
Cosa sta pulendo?,What are you cleaning?
Il tuo cane è ipoallergenico?,Is your dog hypoallergenic?
Il bidone è vuoto.,The can is empty.
"È di vedute aperte, vero?","He's open-minded, isn't he?"
Mary si è comprata una tazza di caffè.,Mary bought herself a cup of coffee.
Ziri ha messo in pausa il video.,Ziri paused the video.
Sua madre è a casa?,Is your mother at home?
Tom è ancora in buona salute.,Tom is still in good health.
Ci hanno aiutati.,They helped us.
A Tom piace ancora?,Does Tom still enjoy it?
Dissero che erano determinate a vincere.,They said they were determined to win.
Vivevo a Bydgoszcz.,I lived in Bydgoszcz.
Non ti amerò mai. Ti odio.,I will never love you. I hate you.
Pensavo fosse lei.,I thought it was her.
Io sono sicuro di poterli trovare.,I'm sure I can find them.
Ne ho appesa una.,I hung one.
Un gatto riesce a guardare nel buio.,A cat can see in the dark.
Un amico lusinghiero è il tuo peggior nemico.,A flattering friend is your worst enemy.
Sa molte cose sugli animali.,He knows a lot about animals.
Lei ha cantato una canzone giapponese per noi.,She sang a Japanese song for us.
Tom aspettava pazientemente Mary.,Tom waited patiently for Mary.
Tom non si fermerà.,Tom won't stop.
Mi dispiace di sprecare il suo tempo.,I'm sorry to waste your time.
Ha molte idee strane.,You have a lot of strange ideas.
Io ho tre anni in più di lei.,I'm three years older than you are.
"Scusami. Un'altra birra, per piacere.","Excuse me. Another beer, please."
Sono stato qui per tre anni.,I've been here for three years.
"È orgoglioso di suo figlio, vero?","He's proud of his son, isn't he?"
Capisco la tua preoccupazione.,I understand your concern.
Non vogliamo andare in Australia.,We don't want to go to Australia.
Diego non è a dieta.,Diego isn't on a diet.
Le hanno nascosto la verità.,They hid the truth from her.
Sono soddisfatti della casa nuova.,They are satisfied with the new house.
La mia conoscenza degli incantesimi è inesistente.,My knowledge of spells is non-existent.
Non la minacciai mai.,I never threatened her.
Andai con Tom.,I went with Tom.
È colpa della camicia rossa?,Is it because of the red shirt?
Io avrei fatto la stessa cosa.,I would have done the same thing.
"Se non potete batterli, unitevi a loro.","If you can't beat 'em, join 'em."
Mi preparai un cocktail.,I fixed myself a cocktail.
Sto cercando la mia matita.,I'm looking for my pencil.
Tom fa sicuramente lo sbruffone.,Tom sure talks big.
Quanto vino è rimasto?,How much wine is left?
Sto tornando a casa a piedi.,I'm walking home.
Gli uccelli cantano festosamente.,The birds are singing merrily.
Sono davvero felice di essere qui.,I'm really happy I'm here.
L'ho comprato a un prezzo ridotto.,I bought it at a reduced price.
Lui vive secondo le leggi di Dio.,He lives according to God's laws.
Lo ha aiutato con i suoi bagagli.,She helped him with his luggage.
C'è un sentiero tra i campi.,There is a path through the fields.
Avete un umore strano oggi.,You're in a strange mood today.
Ha adottato l'orfano.,He adopted the orphan.
Sami creò della magia con i fiori.,Sami created magic with flowers.
Non la volevo perdere.,I didn't want to lose her.
Voglio sapere di lui.,I want to know about him.
Le pecore ci danno la lana.,Sheep give us wool.
Perché non giochiamo a basket?,Why don't we play basketball?
Pensavo che sarei stata bene.,I thought I'd be fine.
Io non sono una paziente.,I'm not a patient.
Sembravano davvero occupati.,They looked really busy.
Mary ha perso suo marito.,Mary lost her husband.
Non lo devi toccare.,You mustn't touch it.
Non sono molto impegnato in questo momento.,I'm not very busy right now.
Io posso riparare la stufa.,I can fix the heater.
Chi è Mosè?,Who is Moses?
Che tipo di gioielli indossi di solito?,What kind of jewelry do you usually wear?
A Miroslav è stato offerto del couscous.,Miroslav was offered couscous.
Sono stufa di aspettare il mio appuntamento!,I am sick of waiting for my appointment!
Bisogna seguire le regole.,One must follow the rules.
Tom ha visto questo?,Did Tom see this?
Come mi avete appena chiamato?,What did you just call me?
Possono andarsene se vogliono.,They may leave if they want.
"È un insegnante di francese, vero?","He's a French teacher, isn't he?"
Yanni era contento.,Yanni was happy.
Li sta rendendo nervosi.,You're making them nervous.
La tua proposta è un po' estrema.,Your proposal is a bit extreme.
Sami viveva con sua zia.,Sami lived with his aunt.
Sto diventando piccola!,I am getting small!
Alza le mani!,Raise your hands!
Gli ho detto che stavo bene.,I told him I was OK.
Queste devono essere tue.,These must be yours.
Mary mi ha detto di essere al verde.,Mary told me that she's broke.
Si sono svuotate le tasche.,They emptied their pockets.
Io voglio del sidro.,I want cider.
Quella riunione è stata una perdita di tempo.,That meeting was a waste of time.
Perché non chiede a Tom di aiutarla?,Why don't you ask Tom to help you?
Superman può vedere attraverso i muri.,Superman can see through walls.
Il mio francese è limitato.,My French is limited.
Non diedi a Mary le informazioni che richiese.,I didn't give Mary the information she requested.
Volete davvero sapere cos'è successo?,Do you really want to know what happened?
Non le menta.,Don't lie to her.
Sia Tom che Mary sono avvocati.,Both Tom and Mary are lawyers.
È il suo ex.,He's her ex.
Gli ho già dato il suo numero.,I already gave him your number.
Le ho consigliate.,I recommended them.
Fadil può praticare la sua religione apertamente ora.,Fadil can practise his religion openly now.
Ho detto loro quello che penso.,I told them what I think.
Tom e Mary lavorano entrambi.,Tom and Mary both work.
Fate quello che vi dice.,Do what he tells you.
Chiederò un prestito a Tom.,I'm going to ask Tom for a loan.
Non l'ha più voluto.,He didn't want it anymore.
Abbiamo iniziato la scuola di recente.,We started school recently.
"Perché lei mi ama, anche io la amo.","Because she loves me, I love her too."
Vi siete fermati al semaforo rosso?,Did you stop at the red light?
Quale birra è di Tom?,Which beer is Tom's?
Avresti dovuto avvertirlo prima.,You should have warned him before.
Dopo il pasto chiesi il conto.,"After the meal, I asked for the bill."
Perché li avete invitati?,Why did you invite them?
Dove ha avuto questa informazione?,Where did she get this information?
Ho un paio di scarpe rosse.,I have a pair of red shoes.
Che cosa possiamo fare per lei?,What can we do for her?
Apparve una donna da dietro un albero.,A woman appeared from behind a tree.
Sami non ha potuto dimostrare l'adulterio di Layla.,Sami couldn't prove Layla's adultery.
Non beva altro.,Don't drink any more.
Stanno trasmettendo la partita di calcio.,The football game is now being broadcast.
"È con qualcuno, vero?","He's with someone, isn't he?"
Qual è il suo giorno preferito della settimana?,What's your favorite day of the week?
Mi sto sbarazzando di lei.,I'm getting rid of her.
Lo farai per me?,Will you carry it out for me?
Yanni ha chiesto a sua zia.,Yanni asked his aunt.
Oggi non è Halloween.,Today isn't Halloween.
Suonerò con te.,I'll play with you.
Lei era così ricca.,She was so rich.
Non si sente umiliato?,Don't you feel humiliated?
Ci ha aiutati molto.,It's helped us a lot.
Continuò a cercare il libro.,He kept looking for the book.
Lei è nubile o sposata?,Is she single or married?
Dovremmo andare insieme.,We should go together.
Hai del ketchup?,Do you have any ketchup?
Mangiare carne è moralmente sbagliato?,Is eating meat morally wrong?
So che questo non importa veramente.,I know this doesn't really matter.
Buona fortuna per il vostro esame.,Good luck on your test.
Non voglio interromperli.,I don't want to interrupt them.
Rifiutatevi di non ricevere alcuna risposta.,Refuse to take no answer.
Sami mi diede della bugiarda.,Sami called me a liar.
Non li seguo.,I don't follow them.
Tutti possono sentirmi bene?,Can everyone hear me okay?
Mi piace camminare a piedi nudi.,I like walking around barefoot.
Questo è il migliore Halloween di sempre.,This is the best Halloween ever.
Non camminare sui cocci di vetro.,Don't step on the broken glass.
Qualcuno ti sta cercando.,Somebody is looking for you.
È una tigre.,That's a tiger.
Tom era invadente.,Tom was pushy.
Cosa state comprando?,What are you buying?
Ora guarda la TV.,He is watching TV now.
Diedi un dizionario a mia sorella.,I gave my sister a dictionary.
Io sono ancora a scuola.,I'm still at school.
Saremo lì tra un minuto.,We'll be there in a minute.
Guardi il cielo limpido.,Look at the clear sky.
Nuotavo qui ogni giorno.,I used to swim here every day.
Voglio che lei sia qui.,I want you to be here.
Non ho ancora finito di leggere quel libro.,I haven't yet finished reading that book.
Lui ha confessato il fatto.,He confessed the fact.
Maria porta i bambini a scuola.,Maria takes the children to school.
Lei ha circa quarant'anni.,She is about forty.
Sami scrisse molte lettere a Layla.,Sami wrote Layla a lot of letters.
Sono passata di lì ieri sera.,I went by there last night.
Avvisai Tom riguardo a Mary.,I warned Tom about Mary.
Ha provato a impressionarla.,He tried to impress her.
Può essere da solo.,He may be alone.
Tom si è quasi scordato i suoi soldi.,Tom almost forgot his money.
Sto cercando un posto in cui dormire.,I'm looking for a place to sleep.
Voi dovete stare svegli.,You need to stay awake.
"Va bene, mi arrendo.","Okay, I give up."
"Non ascoltarlo, è tutto suonato.","Don't listen to him, he's totally nuts."
Li sto solo aspettando.,I'm just waiting for them.
"Pioverà domani? ""Io spero di no.""","Will it rain tomorrow? ""I hope not."""
Non ci credeva nessuno.,Nobody believed us.
Pensate che Tom abbia perso peso?,Do you think Tom has lost weight?
Sta tornando al suo albergo.,He's going back to his hotel.
Abbiamo avuto molte lamentele.,We've had lot of complaints.
Non voglio che voi vi feriate.,I don't want you to be hurt.
Hai molti soldi?,Do you have a lot of money?
Ha condiviso il suo ombrello con lui.,She shared her umbrella with him.
In questo momento non ho niente da dire.,I have nothing to say right now.
"Per favore, aggiunga più caffè.",Please add more coffee.
"Voi parlate il francese, vero?","You speak French, don't you?"
Hanno detto che non causava problemi.,They said that was fine.
Sareste stupide a fidarvi di lui.,You'd be stupid to trust him.
Studiò con te.,She studied with you.
Eravamo in quattro.,We were in four.
Tom non ha mai detto nulla sull'incidente.,Tom never said anything about the accident.
Perché vuole parlare con loro?,Why do you want to talk to them?
È difficile mantenere le tradizioni in contesti differenti.,It's difficult to keep traditions in different contexts.
Mi piace veramente Tom.,I really like Tom.
Ho bisogno di cure.,I need treatment.
Puoi consigliare un altro hotel?,Can you recommend another hotel?
Ci racconta delle battute.,She tells us jokes.
Tom iniziò a sentirsi a disagio.,Tom began to feel uneasy.
Mary perderà il suo volo.,Mary will miss her flight.
Ci sono altre persone che aspettano.,There are other people waiting.
Tom era d'accordo per andare.,Tom agreed to go.
Esca da qua!,Get out of here!
Ha detto che era terrorizzato dai serpenti.,He said he was terrified of snakes.
Tu hai davvero una bella voce.,You have a really nice voice.
Voi sapete che cos'è?,Do you know what it is?
Mary ha negato di essere la ladra.,Mary denied she was the thief.
Io posso insegnarti delle cose.,I can teach you things.
Voglio dei soldi.,I want money.
"Sei ancora un barbiere, vero?","You're still a barber, aren't you?"
Ha restituito il libro di Tom?,Did you return Tom's book?
Pensate che sarete qui domani?,Do you think you'll be here tomorrow?
Sono sicuro che fosse lui.,I'm sure that was him.
Tom è la nostra guida.,Tom is our guide.
È il tuo gatto.,That's your cat.
Io sto per andarmene adesso.,I'm going to leave now.
"Dammi il secchio, rapido!","Give me the bucket, quick!"
Hai sentito quello che ha appena detto Tom?,Did you hear what Tom just said?
Non mi potete controllare.,You can't control me.
Penso che forse posso aiutare.,I think maybe I can help.
Devo stare qui con lei.,I need to stay here with her.
Mi state infastidendo.,You're annoying me.
Come ha reagito alle brutte notizie?,How did he react to the bad news?
Ha lavorato tutto il giorno?,Has he worked all day?
Non pensavo che Tom sarebbe stato così ostinato.,I didn't think Tom would be so obstinate.
Io mi chiedo che cosa direbbe Tom.,I wonder what Tom would say.
Non ho mai visto una bambina così intelligente.,Never have I seen such a smart child.
È impegnato nel lavoro dalla mattina alla sera.,He's engaged in work from morning to evening.
Non me lo perderei.,I wouldn't miss it.
Io sono sicuro che si troverà una soluzione.,I'm sure things will work out.
Io sono sulla lista.,I'm on the list.
Lo mise a disagio.,That made him uncomfortable.
Per favore dimmi dov'è la fermata dell'autobus.,Please tell me where the bus stop is.
Ho pugnalato la mia insegnante.,I stabbed my teacher.
Lo deciderò più tardi.,I will decide that later.
Ha mai mangiato qua prima?,Have you ever eaten here before?
Farebbe meglio a vincere.,You better win.
Me l'ha dato per nulla.,He gave it to me for nothing.
Finalmente ho il set completo!,I've finally got the whole set!
Mi ha detto che non lo può fare.,She told me that she can't do that.
Volete che vi aiuti?,Do you want me to help you?
Io mi sento intrappolata.,I feel trapped.
Può andare con me.,He can go with me.
Dove li avete calcolati?,Where did you calculate them?
Tu sei un ragazzo così carino.,You're such a cute boy.
Siamo felici di aiutarvi.,We are glad to help you.
"Portala via, Tom.","Take it away, Tom."
Sono andate alle superiori.,They went to high school.
Lui è in conferenza ora.,He is in conference now.
Le ho chiamate oggi.,I called them today.
Che tipo di sfide vi motivano?,What kind of challenges motivate you?
Non hai paura dei cani?,Aren't you afraid of dogs?
Sami deve conoscere molto sulle farfalle.,Sami must know a lot about butterflies.
Spero che non le dispiaccia camminare.,I hope you don't mind walking.
Mi dica che ero vicina.,Tell me I was close.
Perché sei dovuto andare a Boston?,Why did you have to go to Boston?
Voglio aiutarti coi compiti.,I want to help you with your homework.
"Dottore, mi chiamo Mutaz.","Doctor, my name is Mutaz."
Penso che non tornerà mai.,I think he will never come back.
Tom e Mary non l'hanno fatto l'anno scorso?,Didn't Tom and Mary do that last year?
Tom ha perso le staffe.,Tom lost his temper.
Non leggerò quel libro.,I'm not going to read that book.
Voi pensate che Tom sia malato?,Do you think Tom is sick?
Chiederei a Tom.,I'd ask Tom.
Lo posso apprezzare.,I can appreciate that.
Devo sostenere l'esame d'ingresso domani.,I have to take the entrance examination tomorrow.
Tom guarda troppa TV.,Tom watches too much TV.
È una conclusione ovvia.,It's a foregone conclusion.
Il fuggitivo è armato e pericoloso.,The fugitive is armed and dangerous.
Tom non fa i suoi compiti da solo.,Tom doesn't do his homework by himself.
Gli piaceva avere un pubblico.,He liked having an audience.
Tom ha fatto qualcosa di stupido.,Tom did something stupid.
Tom sa perché non ti piace?,Does Tom know why you don't like him?
Tom deve parlare con voi.,Tom needs to talk to you.
Non riuscivamo a vedere nulla.,We could see nothing.
"Tom è bravo a calcio, vero?","Tom is good at soccer, isn't he?"
Vorreste un po' di tè?,Would you like to have some tea?
Tom è in una gang.,Tom is in a gang.
Ci ha fatto sorridere.,That made us smile.
Mettila nel microonde.,Put it in the microwave.
"Non volevano aiutare, ma l'hanno fatto.","They didn't want to help, but they did."
Potrei aiutarti con qualcosa?,Could I help you with something?
Non posso lasciarla lì.,I can't leave her there.
Qual è il dosaggio massimo per un adulto?,What is the maximum dosage for an adult?
Tu sei libero di andare o restare.,You are free to go or stay.
Alberto ha portato il suo portatile con sé.,Alberto brought his laptop with him.
Ha ammesso che era spaventato.,He admitted that he was scared.
Come lo fa sempre?,How do you always do it?
Grazie mille per il tuo regalo.,Thank you very much for your present.
Tu non devi preoccuparti.,You don't need to worry.
Noi stiamo venendo ricattate.,We're being blackmailed.
