word,translation
La habitación está empezando a calentarse ahora.,The room is starting to warm up now.
Nunca he visto personalmente un OVNI.,I myself have never seen a UFO.
¿Te gustan los cappelletis?,Do you like tortellini?
Os enseñaremos a leer.,We'll teach you how to read.
Tom ha decidido estudiar en el extranjero.,Tom has decided to study abroad.
¿En dónde trabajaba Tom entonces?,Where was Tom working then?
Su amor por ella no fue correspondido.,His love for her went unrequited.
Sé qué es lo que quieres.,I know what you want.
Tengo la panza llena.,My stomach is full.
¿No quieres salir?,Don't you want to go out?
Ella no llamó después de todo.,She didn't telephone after all.
Ya no está funcionando.,It's not working anymore.
El agua está limpia.,The water is clean.
"Quién siembra vientos, recoge tormentas.","Sow the wind, harvest the storm."
Vi muchas caras familiares.,I saw many familiar faces.
Prepárate a morir.,Prepare to die.
No quiero ir a Sudáfrica.,I don't want to go to South Africa.
Te considero mi mejor amigo.,I look on you as my best friend.
Tom subió a su carro.,Tom got in his car.
Estoy interesando en el Islam,I'm interested in Islam.
Esta es una casa de madera.,This is a wooden house.
¿Rompiste con Tom?,Did you break up with Tom?
Estoy buscando a un anciano.,I'm looking for an old man.
La pena de muerte debería ser abolida.,The death penalty should be abolished.
La mujer del reo comenzó a llorar.,The defendant's wife started to cry.
Tom quería venir.,Tom wanted to come.
La familia de Tomás vive en Australia.,Tom's family lives in Australia.
Es fácil de hacer.,It's easily done.
Eso nunca desaparecerá.,That will never disappear.
Entiendo perfectamente tu postura.,I understand your position perfectly.
Para entonces ya será demasiado tarde.,By then it will already be too late.
No te voy a decir mi verdadero nombre.,I won't tell you my real name.
Nunca me di cuenta de eso.,I never noticed that.
Creo que te conocen.,I think they know you.
Esto es una librería.,This is a library.
"Si no las mata usted, ellas le matarán.","If you don't kill them, they'll kill you."
Se acabó la batería.,The battery gave out.
Ella siempre se está preocupando por nimiedades.,She's always worrying about trifles.
Me encantó el sentido del humor de Marika.,I loved Marika's sense of humor.
No dejes tus pertenencias desatendidas.,Don't leave your belongings unattended.
Ellos se quieren casar.,They want to get married.
Esta nave puede alcanzar velocidades altísimas.,This ship can reach extremely high speeds.
Mi amigo viene del futuro.,My friend is from the future.
¿Tiene un lápiz?,Do you have a pencil?
No estoy en casa los domingos.,I'm not home on Sundays.
Tom hizo un guiño y lanzó un beso.,Tom winked and blew a kiss.
Mi hermano está viendo tele.,My brother is watching TV.
¿Ésas son mis gafas?,Are those my glasses?
¿Qué crees que estoy pensando?,What do you think I'm thinking about?
"Sin más preámbulos, comencemos.","Without further ado, let's get started."
Las niñas son más románticas que los niños.,Girls are more romantic than boys.
No te estoy hablando a vos.,I'm not talking to you.
Quiero que mires algo.,I want you to look at something.
¿Dónde está Namibia?,Where is Namibia?
¿No hay otra manera?,Is there no other way?
¿Estaba Tom preocupado por sus notas?,Was Tom worried about his grades?
Me gusta mojar las galletas en la leche.,I like to dip my cookies in milk.
¿Te puedo llamar otra vez?,Can I call you again?
La depredación del tribunal fue devastadora.,The depredation of the courthouse was devastating.
Nada es tan simple como parece.,Nothing is as simple as it seems.
"Tom, necesito tu ayuda.","Tom, I need your help."
No muchos de nosotros entendemos francés.,Not many of us can understand French.
Yo no quiero aprender tu idioma.,I don't want to learn your language.
Ella me llamó por la tarde.,She called me in the afternoon.
Abra usted la puerta están llamando el timbre.,Open the door. They are ringing the bell.
Encontramos una anomalía.,We found an anomaly.
La crueldad humana no tiene límites.,Human cruelty has no limits.
El alemán es un lenguaje sintético.,German is a synthetic language.
"¡Puaj, eso huele a mierda!","Yuck, that smells like shit!"
Tengo retortijones de hambre.,I have hunger pangs.
Estaba visitando a su madre adoptiva.,He was visiting his foster mother.
Tom no sabe en quién puede confiar.,Tom doesn't know who he can trust.
Parece que Jiro ha perdido el tren.,Jiro seems to have missed the train.
"Como regla, el granizo cae en el verano.","As a rule, hail falls in the summer."
Se supone que debes ser un cómplice.,You're supposed to be an accessory.
Ella abandonó la oficina inmediatamente después del trabajo.,She left the office immediately after work.
¿Sabes tocar el ukelele?,Can you play the ukulele?
Nancy estudió mucho.,Nancy studied hard.
Tom está sangrando.,Tom is bleeding.
Yo no sabía que fumaras.,I didn't know you smoked.
Su ambición es ser abogado.,His ambition is to be a lawyer.
Creo que somos todos un poco locos.,I think we're all a bit crazy.
Arrestaron solamente a Tom.,Tom was the only one who was arrested.
Haré lo que haga falta.,I'll do whatever it takes.
Estos guantes mantuvieron calientes sus manos.,These gloves kept her hands warm.
Tú no deberías fisgonear.,You shouldn't eavesdrop.
Los gatos son territoriales.,Cats are territorial.
¿Te puedo robar un cigarro?,Can I bum a cigarette off you?
Tom se vistió rápidamente.,Tom got dressed quickly.
Las moléculas de benceno son hexagonales.,Benzene molecules are hexagonal in shape.
¿Sabes algo acerca de esto?,Do you know anything about this?
No sabemos lo que es.,We don't know what it is.
Él quiere que vengas a casa.,He wants you to come home.
Hay que extraerte el diente.,Your tooth must be extracted.
¿Este carro es tuyo?,Is this car yours?
Fundó la escuela hace cinco años.,He founded the school five years ago.
El programador arregló el defecto.,The programmer fixed the bug.
Estaba demasiado cansado para pararme.,I was too tired to stand.
¿Dónde comprasteis esta moto?,Where did you buy this motorcycle?
Parece haber alguien en casa.,Someone seems to be at home.
Vendí todas mis casas.,I sold all my houses.
Jesus les respondió.,Jesus answered them.
"Un vino tinto, por favor.","A red wine, please."
"Relájate un poco, lo necesitas.",Take a break. You could use one.
Ellos se sentaron al lado del fuego.,They sat down by the fire.
Tom necesita algo de tiempo a solas.,Tom needs some alone time.
Tienes una memoria bastante buena.,You have a pretty good memory.
¿Por qué tienes que hacerlo?,Why do you have to do it?
"Tú comiste sushi ayer, ¿cierto?","You ate sushi yesterday, didn't you?"
Es un vídeo largo.,It's a long video.
No deberías comparar a Tom con Mary.,You shouldn't compare Tom with Mary.
Él no participó en la discusión.,He didn't participate in the discussion.
No tomé ningunas medidas de precaución.,I didn't take any precautions.
Tom no lo cerró.,Tom didn't close it.
Me alegra que alguien me lo dijo.,I'm glad someone told me.
Mi bolsa fue robada.,My bag was stolen.
Acepté el trabajo.,I took the job.
¿A qué hora sale tu vuelo?,What time does your plane leave?
Está a punto de acabársenos el tiempo.,Time's about to run out for us.
Viajo seguido al extranjero.,I often go abroad.
Muchos estudiantes tienen trabajos a tiempo parcial.,A lot of students do part-time jobs.
Vi un partido de tenis por la tele.,I watched a tennis match on TV.
Ayer vi la tele.,I watched TV yesterday.
Creía que no habías visto nada.,I thought you didn't see anything.
Tengo un cuchillo.,I've got a knife.
¿Podría hablar un poco más alto por favor?,Could you speak a little louder please?
La belleza no es importante.,Beauty isn't important.
"Estoy muy ocupada, así que no cuentes conmigo.",I'm very busy so don't count on me.
Pienso que esto es realmente excitante.,I think this is really exciting.
El chico es capaz de robar.,The boy is capable of robbery.
Él dijo que era pobre.,He said he was poor.
Coge tanto como necesites.,Grab as much as you need.
Ese tipo me enloquece.,That guy drives me crazy.
Este periódico es de hoy.,This is today's newspaper.
Cumple casi cincuenta años.,He's pushing fifty.
He dormido como un bebé en un tronco.,I slept like a baby on a log.
Necesito la firma de Tom.,I need Tom's signature.
Tom sabe lo que se juega.,Tom knows the stakes.
Ella deseaba ser hermosa.,She wished to be beautiful.
¡Eso es puro racismo!,That's pure racism.
La vida de los hombres es corta.,The lives of people are short.
¡El conductor ha dicho que no tenemos frenos!,The driver said we don't have brakes!
Hoy fui al cine.,Today I went to the cinema.
Mary me dejó que la besara.,Mary let me kiss her.
Tu habitación es una pocilga.,Your room is a pigsty.
Realmente me gusta China.,I really like China.
Tom estaba muy enojado conmigo.,Tom was very angry with me.
Montamos calentadores de agua.,We assemble water heaters.
A Tom le dan asco los vegetales.,Tom can't abide veggies.
Sabía que Tom estaría aquí.,I knew Tom would be here.
Hablemos seriamente de tu futuro.,Let's have a serious talk about your future.
No quiero verlo de nuevo.,I don't want to see him again.
Quiero saber cómo sabes eso.,I want to know how you know that.
El dinero cambia la gente.,Money changes people.
Pronto dejarás de pensar en él.,You'll stop thinking of him soon.
Toca la campana en caso de emergencia.,Ring the bell in an emergency.
No esperen demasiado de él.,Don't expect too much of him.
No me convence.,I'm not persuaded.
Ayer fuimos al cine.,Yesterday we went to the movies.
Ellos me engañaron.,They misled me.
¿Cuántos canales privados hay en Grecia?,How many private channels are there in Greece?
Ponga la radio un poco más alta.,Turn the radio up a little.
Mary lleva sombra de ojos.,Mary is wearing eye shadow.
Tú eres la experta.,You are the expert.
Nadie sabe quién es él.,Nobody knows who he is.
¿Tengo que volver allá?,Do I have to go back there?
Yo leía un libro.,I was reading a book.
Déjame subir a bordo.,Let me come aboard.
Le considero un gran escritor.,I consider him a great writer.
Me acuerdo de ese hombre.,I remember that guy.
Él oyó un grito.,He heard a shout.
El felpudo está mugriento.,The doormat is filthy.
¿Cuál es la altura de aquella torre?,How tall is that tower?
"¿Puedo usar tu coche? ""Seguro. Adelante.""","Can I use your car? ""Sure. Go ahead."""
Un accidente es demasiado.,One accident is too many.
Tom está enamorado de otra mujer.,Tom is in love with another woman.
Circunstancias desfavorables me impidieron viajar.,Unfavorable circumstances prevented me from traveling.
Tom es muy conservador.,Tom is very conservative.
Realmente me alegra escuchar eso.,I'm really glad to hear that.
Tengo otra hermana.,I have another sister.
Anoche tuvimos una fiesta.,We had a party last night.
Lo hicieron lo mejor que pudieron.,They did the best they could do.
El silencio de la noche nos conforta.,The silence of the night comforts us.
¿Ahora no te sientes como un tonto?,Don't you feel stupid now?
Trataré de no derramar nada.,I'll try not to spill anything.
Tienes toda la vida por delante.,Life lies in front of you.
Tengo reservado para hoy.,I have a reservation for today.
Quizá vaya contigo mañana.,I might want to go with you tomorrow.
"No, no puedo creerme lo que dices.","No, I cannot believe what you say."
Yo jamás me uniría a una sociedad secreta.,I would never join a secret society.
Eva sólo toma café.,Eve drinks only coffee.
Le gusto a Tom.,Tom likes me.
Él nadó a través del río.,He swam across the river.
Ésas son bonitas.,Those are nice.
¡Bienvenido a tu nuevo hogar!,Welcome to your new home.
Me es imposible ayudarte.,I cannot possibly help you.
Hazlo otra vez.,Try it once again.
Le pidieron a Tom que saliera en televisión.,Tom was asked to appear on television.
Quítate tu gorro.,Take off your cap.
Mi hermano Jacques tiene catorce años.,My brother Jacques is fourteen years old.
"Diga lo que te diga, no me creas.","Whatever I tell you, you don't believe me."
Compré cuarenta dólares de gasolina hoy.,I bought forty dollars' worth of gasoline today.
Mi esposa me golpea.,My wife beats me.
Tom necesitaba eso desesperadamente.,Tom desperately needed that.
Fue una semana terrible.,It was an awful week.
¿Te puedo tomar la mano?,May I hold your hand?
El aire se sentía un poco helado.,The air felt a little cold.
Un auténtico científico no pensaría así.,A true scientist wouldn't think like that.
La perra está mordiendo a su dueña.,The bitch is biting her owner.
"De ahora en adelante, prometo ser puntual.","From now on, I promise to be punctual."
Servite más papas fritas.,Help yourself to more potato chips.
Está subiendo el precio de la electricidad.,The price of electricity is going up.
"Jane no jugó tenis, ¿cierto?","Jane didn't play tennis, did she?"
No la llames ahora.,Don't call her now.
¿Conoces a los padres de Tomás?,Do you know Tom's parents?
Estudiamos inglés en la misma clase.,We study English in the same class.
"Es una estafa, Yanni.","It's a scam, Yanni."
María estaba intentando quedar embarazada.,Mary was trying to get pregnant.
Los coches chocaron el uno contra el otro.,The cars crashed into each other.
"Llamaron a su hijo ""Tom"".",They named their son Tom.
Tony habla inglés igual de bien que tú.,Tony speaks English as well as you.
Dios nos dio el poder de amar.,God gave us the power to love.
No soy un gran orador.,I'm not a great speaker.
No te olvides de tu cepillo de dientes.,Don't forget your toothbrush.
¿Dónde está el otro?,Where's the other one?
Tiene la costumbre de chupar el lápiz.,He has a habit of sucking his pencil.
Tom no volverá.,Tom won't come back.
Me fui a casa corriendo.,I hurried home.
La felicidad no puede comprar el dinero.,Happiness can't buy money.
Los gatos son criaturas quisquillosas.,Cats are fickle creatures.
¿Le gusta el lomo de cerdo?,Do you like pork loin?
Será mejor que lo vuelva a llamar.,I'd better call him again.
¿Estás pensando seriamente en irte?,Are you seriously thinking about going?
El chile me quemó la lengua.,The chili burnt my tongue.
Aquí está el bus.,Here's the bus.
Me sé este chiste.,I know this joke.
Me dan una hora para comer.,I get an hour to eat.
¿De verdad dijiste eso?,Did you really say that?
Hablar inglés no es fácil.,To speak English is not easy.
Ella rechazó el dinero.,She rejected the money.
Él cambió de colegio el año pasado.,He changed schools last year.
Tengo miedo de no acabar eso a tiempo.,I'm afraid of not finishing it in time.
Tengo exactamente lo que necesitás.,I have exactly what you need.
Mis hermanas son médicas.,My sisters are physicians.
Se supone que estás feliz.,You're supposed to be happy.
Eso fue nuestro acuerdo.,That was our agreement.
Hoy nos vamos a bailar.,"Today, we are going dancing."
Cambiemos a francés.,Let's switch to French.
Yo nunca te oculté nada.,I never concealed anything from you.
Él sueña en convertirse en un astronauta.,He is dreaming of becoming an astronaut.
Ella no pudo venir porque estaba ocupada.,She couldn't come on account of being busy.
No tengo objeciones a tu plan.,I have no objection to your plan.
"Si me alcanzase el dinero, compraría esto.","If I had enough money, I'd buy this."
Asumí que Tom estaba esperando a María.,I assumed Tom was waiting for Mary.
Normalmente me levanto temprano.,I usually get up early in the morning.
Lo que dijiste es absurdo.,What you said is absurd.
Me gusta que hagas eso.,I like it when you do that.
Hay un incendio en mi cocina.,There's a fire in my kitchen.
Sé lo que siento.,I know what I feel.
Él viajará al extranjero el próximo año.,He will travel abroad next year.
Sé amable con los ancianos.,Be kind to your elders.
Tom dijo que quiere retirarse.,Tom said that he wants to retire.
Mennad quiere un abrigo.,Mennad wants a coat.
La médico me dijo que estaba bien.,The doctor told me that it was good.
A María le gusta salir de juerga.,Mary likes to party.
Los negociadores federales llegaron a un acuerdo.,Federal negotiators reached a compromise.
He visto alguna vez un té con gas.,I saw a carbonated tea once.
No desayuné esta mañana.,I didn't eat breakfast this morning.
La empresa se fue a la bancarrota.,The company went bankrupt.
¿Sabes qué quiere comprar Tom?,Do you know what Tom wants to buy?
¿Te ha comido la lengua el gato?,Has the cat got your tongue?
Ya descansé bastante.,I've rested enough already.
Limítate a rellenarlo.,Just fill this out.
Estoy aquí para probar que usted está equivocado.,I'm here to prove you wrong.
¿Dónde hace la compra Tom?,Where does Tom shop?
¿Me vas a preguntar o qué?,Are you going to ask me or what?
Eres una chica con suerte.,You're a lucky girl.
Nadie sabía cómo era la máquina.,Nobody knew what the machine was like.
Es una especie de círculo vicioso.,It's some kind of vicious circle.
Es su única elección.,It is their only choice.
Presenta sus argumentos con mucho arte.,He presents his arguments with great skill.
Me estás interrumpiendo.,You're interrupting me.
¿Mintió Tom a Mary?,Did Tom lie to Mary?
