word,translation
میں ان کے خیال سے اتفاق کرتا ہوں۔,I agree with his idea.
مجھ پر بھروسہ کرو۔,Trust me!
اس کو اپنی قسمت قبول کرنا پڑی۔,She had to accept her fate.
ان کو اپنی قسمت قبول کرنا پڑی۔,She had to accept her fate.
میرے پیچھے آئو۔,Come along after me.
میرے پیچھے آئے۔,Come along after me.
ہم قانون کی اطاعت کرنے کے پابند ہیں۔,We are bound to obey the law.
ہنس کو اشارے سمجھ آتے ہیں۔,Swans understand signs.
وہ کام کر کر کے تھک گئی ہے۔,She's tired from overwork.
میں اس پر دوبارہ نظر ثانی کرو گا۔,I'm going to reconsider it.
برائے مہربانی، یہاں دستخط کرے۔,"Sign here, please."
میں یہ اپنی والدہ کے لیے چنوں گا۔,I will choose them for my mother.
میں نے اسے بتایا کہ وہ غلط تھا۔,I told him that he was wrong.
ہم رات بارہ بجے تک باتیں کرتے رہیں۔,We talked on the phone until midnight.
ان گرمیوں میں کافی بارشیں ہوئی ہیں۔,We have had much rain this summer.
مگر بہت بہت مشکل ہے۔,"But that's very, very difficult."
آگ بجھ گئی۔,The fire went out.
اس نے مجھے اپنی زندگی کی کہانی سنائی۔,He told me his life's story.
انہوں نے مجھے اپنی زندگی کی کہانی سنائی۔,He told me his life's story.
وہ مجھ سے تین گنا زیادہ کماتا ہے۔,He earns three times more than I do.
اس نے کتاب کو الماری میں رکھ دیا۔,He put the book on the shelf.
انہوں نے کتاب کو الماری میں رکھ دیا۔,He put the book on the shelf.
سورج سے ہمیں حرارت اور روشنی ملتی ہے۔,The sun gives us heat and light.
پہلے مجھے لگا کہ وہ تمھارا بھائی ہے۔,"At first, I thought he was your brother."
اس کے نظریہ کو سمجھنا مشکل ہے۔,It's difficult to understand his theory.
ان کے نظریہ کو سمجھنا مشکل ہے۔,It's difficult to understand his theory.
ممکن ہے کہ وہ آجائے گی۔,She'll probably come.
اس کا سائز انڈے جتنا ہے۔,It's about the size of an egg.
آج بہت گرمی ہے۔,It's very hot today.
گیارہ بج گئے ہے۔,It's already eleven.
میں جلد ہی واپس آ جائو گا۔,I'll be back soon.
مجھے کتوں سے ڈر لگتا ہے۔,I'm afraid of dogs.
گیند کو دونوں ہاتھوں سے پکڑو۔,Hold the ball with both hands.
میں آٹھویں منزل پر ہوں۔,I'm on the eighth floor.
بزرگ عورت بڑی مشکل سے سیڑھیاں چڑھی تھی۔,The old woman climbed the stairs with difficulty.
مجھے گانے کی دھن یاد نہیں آ رہی۔,I can't remember the melody of that song.
اس نے مجھے ڈھیڑ ساری خوبصورت تصویریں دکھائیں۔,He showed me a lot of beautiful photos.
انہوں نے مجھے ڈھیڑ ساری خوبصورت تصویریں دکھائیں۔,He showed me a lot of beautiful photos.
میں شام کو انگریزی پڑھو گا۔,I'm going to study English this afternoon.
یہ کام نہیں کرے گا۔,It won't work.
وہ گاڑی کے حادثے میں زخمی ہوئی تھی۔,She was injured in a car accident.
تم ہمیشہ دیر سے کیوں آتے ہو؟,Why is it that you're always late?
مجھے یہ فلم بہت دلچسپ لگی ہے۔,I found this movie very interesting.
میں نے اس فلم کو بہت دلچسپ پایا۔,I found this movie very interesting.
میں اس واقعے کو تفصیل سے سمجھاتا ہوں۔,I'll explain the incident.
میں اس واقعے کو تفصیل سے سمجھاتی ہوں۔,I'll explain the incident.
میں کچھ ٹیلی فون کالیں کرنا چاہتا تھا۔,I wanted to make some telephone calls.
میں کچھ ٹیلی فون کالیں کرنا چاہتی تھی۔,I wanted to make some telephone calls.
وہ بازو باندھ کے سوچ رہا تھا۔,"He was thinking, with his arms folded."
ٹریفک حادثہ کیسے پیش آیا؟,How did the traffic accident happen?
ٹھنڈا موسم اور کتنا عرصہ رہے گا؟,How long will this cold weather continue?
کیوں نہ ہم اسے ملنے چلے؟,Why don't we drop by to see her?
وہ دل بھینک ہے۔,He's a philanderer.
اس آدمی کو سزائے موت دی گئی ہے۔,The man was given a life sentence.
یہ بچے ہمیشہ بے چین رہتیں ہیں۔,These kids are always restless.
میں نے سیٹل جانا ہے۔,I want to go to Seattle.
ٹام رات کو گھر آیا تھا۔,Tom came over last night.
کیوبا کے سب لوگوں کو پسند ہیں۔,Everyone in Cuba likes it.
وہ مطمئن نہیں ہوئے تھے کیا؟,Weren't they satisfied?
میں پڑھا رہا ہوں۔,I am teaching.
میں پڑھا رہی ہوں۔,I am teaching.
وہ جاپان کا اڈیسن ہے۔,He is an Edison in Japan.
وہ زیادہ دور نہیں رہتا۔,He doesn't live far away.
ہاتھی ایشیا اور افریقہ میں پائے جاتے ہیں۔,Elephants live in Asia and Africa.
وہ ایک بین الاقوامی بینک میں مترجم ہے۔,He is an interpreter in an international bank.
تم سارے کہاں رہتے ہوں؟,Where do you all live?
اس کائنات کی ابتدا کیا ہے؟,What is the origin of the universe?
مجھے دل کا دورہ پڑا تھا۔,I had a heart attack.
تمھیں جشن کیسا لگا؟,How did you like the party?
ٹام نوکری تلاش کر رہا ہے۔,Tom is seeking a job.
اس میں کافی خامیاں ہے۔,She has many faults.
وہ چھٹیوں میں وہیں رہا۔,He stayed there during the vacation.
ٹام ایک امیر آدپی ہے۔,Tom is a wealthy man.
برائے مہربانی، دھیان سے فیصلہ کی جیئے گا۔,Please choose wisely.
کیا وہ ہوٹل میں قیام کر رہی ہے؟,Is she staying at a hotel?
تمھیں خود حاضری دینی پڑے گی۔,You have to appear in person.
یہ گلی آگے سے بند ہے۔,This is a dead-end alley.
تم نے نانا کی ویل چیئر دیکھی ہے؟,Did you see grandpa's wheelchair?
آخر کار برف باری شروع ہو گئی ہے۔,"Finally, it's snowing!"
ٹام اپنے باغ کو پانی دے رہا ہے۔,Tom is spraying his garden.
حادثہ پرسو ہوا تھا۔,The accident took place the day before yesterday.
وہ اپنے خرچے کم کرے گے۔,They will cut down on their expenses.
کوئی اس بندے کو پکڑے۔,Somebody catch that man!
یہ اچھا سودا ہے۔,It's a real bargain.
میں بہت خوش ہوں تمھاری کامیابی پہ۔,I'm so glad that you succeeded.
وہ سٹیشن کی طرف دوڑے۔,They hurried to the station.
تمھیں کھڑے ہونے کی ضرورت نہیں ہے۔,You needn't stand up.
امنے ہمسایوں سے بہترین سلوک کرو۔,Love your neighbors.
وہ بینک کے اندر گیا۔,He went into the bank.
مختلف لوگوں کے مختلف خیالات ہیں۔,Different people have different ideas.
وہ پیانو بجانے میں مہارت رکھتا ہے۔,He is a proficient pianist.
وہ میرے ٹائپ کی نہیں ہے۔,She isn't to my taste.
وہ دیر تک بیٹھنے کا عادی ہے۔,He was accustomed to sitting up late.
تحفہ دینے کا بہت شکریہ۔,Thank you for your present.
ابھی بھی دیر نہیں ہوئی۔,It's never too late.
مجھے تاریخیں زبانی یاد نہیں دہتی۔,I can't remember the date offhand.
اس نے ادب کا ذوق سیکھا۔,He learned to appreciate literature.
ہمارے ملک میں سمندری اشیائیں بہت ہے۔,Our country is rich in marine products.
اس نے اسی وقت پیسے ادا کئیے۔,He paid the money on the spot.
جانوروں کو کھانا نہ ڈالے۔,Don't feed the animals.
تینوں لڑکوں کو انعام ملے گا۔,Each of the three boys got a prize.
وہ کوئی عام طافان نہیں تھا۔,That was no ordinary storm.
وہ ملنسار فطرت کا مالک ہے۔,He has a sociable disposition.
آخری ٹرین جا چکی ہے۔,The last train has already gone.
کافی طلبہ لائبریری میں پڑھتے ہیں۔,Many a student studies at the library.
سب کچھ لگا دو۔,All in.
مجھے سیدھا داستہ دکھا۔,Show us the straight path.
ٹام پچھلے ہفتے کہیں نہیں گیا۔,Tom didn't go out last weekend.
تم نے اس گھڑی کی مرمت کروانی ہے؟,Do you want this watch mended?
آپ نے اس گھڑی کی مرمت کروانی ہے؟,Do you want this watch mended?
تم کیا کھانا پسند کرو گے؟,What would you like to eat?
آپ کیا کھانا پسند کریں گے؟,What would you like to eat?
آپ کیا کھائیں گے؟,What would you like to eat?
تم کیا کھائو گے؟,What would you like to eat?
تم میرا دجسٹر لے جانا۔,I'll lend you my notebook.
تم کیا کرو گے؟,What are you going to do?
آپ کیا کریں گے؟,What are you going to do?
ٹام ابھی اناڑی ہے۔,Tom is only a beginner.
ٹام نے ابھی ابتدا کی ہے۔,Tom is only a beginner.
اکاؤنٹس کو آڈٹ کر دیا گیا ہے۔,The accounts have been audited.
اپنی آنکھیں کھلی رکھنا۔,Keep your eyes peeled!
اس نے مطالبہ کیا کہ جان وہاں جائے۔,He demanded that John should go there.
میں ٹرین پر اپنا ٹینس ریکیٹ چھوڑ آیا۔,I left my tennis racket on the train.
وہ تقریباّ میری بہن کی عمر کی ہے۔,She's about the same age as my sister.
میں جرمن نہیں بول سکتا۔,I can't speak German.
میں اور انتظار نہیں کر سکتا۔,I can't wait for it!
اس کا ذائقہ بھی بہت اچھا ہے۔,"It tastes great, too."
کھوپڑے کا تیل کمال ہے۔,Coconut oil does wonders!
میں ریڈیو کبھی کبھی سنتا ہوں۔,I almost never listen to the radio.
میں ریڈہو بہت کم سنتا ہوں۔,I rarely listen to the radio.
ٹام بہت گالیاں دیتا ہے۔,Tom swears like a sailor.
کب سے؟,Since when?
میں ایک کمرہ بک کرانا چاحو گا۔,I'd like to book a bedroom.
میں ایک کمرہ بک کرانا چاھتا ہوں۔,I would like to book a bedroom.
شاید ہم کام کریں۔,Maybe we're gonna work.
میں تمہیں مس نہیں کرنا چاہتا۔,I don't want to miss you.
چھوڑ دو اسے۔,Leave it behind.
وہ ایک کسان بننا چاھتا تھا۔,He wanted to be a farmer.
ترجمہ کیا معیار بہتر ہو گیا ہے۔,The quality of translation has improved.
یہ گوند پلاسٹک کو نہیں جورتی۔,This glue does not adhere to plastic.
بچے کھلونوں سے کھیل رہے ہیں۔,The children are playing with toys.
وہ میرے لیئے اب مسکراتی نہیں ہے۔,She doesn't smile for me anymore.
اجلاس کے دوران بارش ہوتی رہی۔,It rained during the whole meeting.
اور اب کیا؟,"And now, what?"
تمھیں زیادہ پڑھنا چاہئیے۔,You need to study more.
مجھے نیند آ رہی ہے۔,I'm sleepy.
مجھے خماری چڑھ رہی ہے۔,I'm sleepy.
وہ اس طرف گئی ہے۔,She went that way.
مجھے کوئی پڑوا نہیں ہے۔,I don't care.
مجھے کوئی فرق نہیں پڑتا۔,I don't care.
یہ لطیفہ کیا ہوتا ہے؟,What's a joke?
وہ میری بلی ہے۔,That's my pussy.
میں اتنی اونچی چھلانگ کیسے لگائو؟,How can I jump so high?
وہ لڑکی رونے شروع ہو گئی۔,The girl broke into tears.
صفحہ نمبر دس سے رجوع کرے۔,Please refer to page ten.
اینڈی نے کافی محنت کی ہوگی۔,Andy must have practiced very hard.
برائے مہربانی زیادہ تیز نہ چلے۔,Please don't walk too fast.
ہر کھلاڑی نے اپنی بھرپور کوشش کی۔,Each player did his best.
اسے بار بار پڑھو۔,Read it again and again.
میں بھارت میں ہوں۔,I'm in India.
یاد دکھو، عزت ہی سب کچھ ہے۔,"Remember, respect is everything."
تم ایک اچھے بچے ہو۔,You are a good boy.
بہت کم جاپانی صحیح انگریزی بول سکتے ہیں۔,Few Japanese can use English well.
مجھے اپنا پیٹ بھاری محسوس ہو رہا ہے۔,My stomach feels heavy.
ٹام تمھیں جانے نہیں دے گا۔,Tom won't let you go.
اسے فورا٘ کرو۔,Do it at once.
ٹام نے اچھا وقت گزارا۔,Tom had a great time.
انہوں نے ایک اچھا موقعہ گنوا دیا۔,They missed a good chance.
اس نے اپنی ایلبم مجھے دکھائی۔,She showed her album to me.
ٹام نے مریم کو کتاب پڑھتے ہوِئے دیکھا۔,Tom found Mary reading a book.
میں میکڈونلڈ میں کام کر رہا ہوں۔,I'm working for McDonald's.
ہماری ہر گفتگو لڑائی پہ ختم ہوتی ہے۔,Our conversation always ends in a quarrel.
تم فوراّ سے پہلے یہ خط لکھو۔,You had better write the letter at once.
اس سوال کا جواب بہت آسان ہے۔,That question is easy to answer.
وہ ان کی کتابیں ہیں۔,Those are their books.
میں بعد میں آ جائو گا۔,I think I'll come back later.
پہاڑوں میں ہوا بہت تازہ ہے۔,The air is very pure in the mountains.
میں لاہور میں رہتا ہوں۔,I live in Lahore.
وہ عجائب گھر کس نے ڈیزائن کیا ہے؟,Who designed that museum?
وہ سیدھا میرے پاس آیا۔,He came straight up to me.
کاش میں اس سے شادی کر لیتا۔,I wish I had got married to her.
کاش میری اس سے شادی ہو جاتی۔,I wish I had got married to her.
میں اب جرمن سیکھ رہا ہوں۔,I'm learning German now.
یہ بہت بڑا ہے۔,This is too big.
یہ بہت زیارہ ہے۔,This is too big.
اس سیب کا ذائقہ بہت کڑوا ہے۔,This apple tastes very sour.
اس سال سردی بہت ہلکی ہے۔,We have a mild winter this year.
کیا تم مجھے اب سن سکتے ہو؟,Do you hear me well now?
وہ فورا مان گیا۔,He readily agreed to it.
کیا تم بینگلی صاحب کو جانتے ہو؟,Do you know Mr. Bingley?
جیسے ہی بارش تھمی، ہم نکل گئے۔,We set out when the rain had eased.
مجھے ایک آئڈیا آیا تھا۔,I had an idea.
میں انہیں آج مل رہا ہوں۔,I'm seeing them tonight.
ٹام کو ڈھائی بجے تک گھر پہنچنا ہے۔,Tom has to be home by 2:30.
تم کیا چاہتے ہو کہ میں کیا کروں؟,What would you like me to do?
میں نے اسے بیس بال کھیلتے ہوئے دیکھا۔,I saw him play baseball.
وہ زمین پہ کھڑا ہوا تھا۔,He was standing on the floor.
وہ ضرور امتحان میں پاس ہوگا۔,He is likely to pass the examination.
قیمتیں بڑھ رہی ہیں۔,Prices are rising.
غبارے میں پوا بھری ہوئی ہے۔,The balloon is filled with air.
کیا تم جلدی میں ہو؟,Are you in a hurry?
میں دوبارہ کب آئو؟,When should I come again?
اس نے وکالت کی تربیت حاصل کی ہے۔,He was trained as a lawyer.
مجھے نہیں پتا کہ تم کہاں جائو گے۔,I don't know where you will go.
مجھے نہیں پتا کہ آپ کہاں جائو گے۔,I don't know where you will go.
تمھارا کوٹ بہت خوبصورت ہے۔,Your coat is very beautiful.
مجھے کام کرنے سے نفرت ہے۔,I hate working.
اس نے نظریں جھکا لی۔,She looked away.
جاپان میں سب سے اونچا پہاڑ کونسا ہے؟,What is the largest mountain in Japan?
میری گھڑی دس منٹ پیچھے ہے۔,My watch is ten minutes slow.
جہاذ پہاڑ کے اوپر سے گزرا۔,The plane flew over the mountain.
تمہیں یہ کتاب سمجھ آئی ہے؟,Do you understand this book?
مجھے کوئی وجہ نظر نہیں آ رہی۔,I see no reason.
اس کے ساتھ واقعی ایسا ہوا؟,Did that really happen to him?
اس کا سارا سامان گم ہو گیا۔,He lost all his possessions.
مجھے دودھ چاہئیے۔,I want some milk.
قیامت آ چکی ہے۔,The day of judgment has arrived.
مجھے ابھی فورا بھیجو۔,Send it to me now.
میرا پین چوری ہو گیا ہے۔,My pen has been stolen.
میرا سر پھٹ رہا ہے۔,My head is exploding.
تمھیں ٹکٹ چاہیے؟,Do you want a ticket?
میں نے بھی جانا ہے۔,"I'd like to go, too."
اس نے الٹا کیا۔,He did the opposite.
میں اسے ابھی فون کرتا ہوں۔,I'll call her immediately.
وہ میری عزت کرتا ہے۔,He respects me.
میں کل فلم دیکھنے نہیں جا رہا۔,I'm not going to the movies tomorrow.
تم دفتر میں کام نہیں کرتے۔,You don't work in an office.
وہ بہت مزاحیہ ہو گا۔,That will be funny.
وہ ہماری پہلی ملاقات تھی۔,That was our first encounter.
مجھے دعوت نامہ ملا ہے۔,I received an invitation.
مجھے کیک چاہیئے,I want some cake.
اپنا پاسپورٹ دکھائیے گا۔,"Passport, please."
تم نے صرف اس بٹن کو دبانا ہے۔,You have only to push this button.
وہ یہ کہ ہی نیں سکتا۔,He cannot have said so.
درخت گر گیا۔,The tree fell down.
یہ ہی تو میں جاننا چاہتا ہوں۔,That's what I want to know.
یہ ہی تو میں جاننا چاہتی ہوں۔,That's what I want to know.
بہت خوبصورت نام ہے تمہارا۔,You have a beautiful name.
اسے گاڑی چلانا نہیں آتی۔,He isn't able to drive a car.
وہ افواہ سچی نکلی۔,The rumor turned out to be true.
کیا تم پچھلے مہینے امریکا میں تھے؟,Were you in America last month?
کیا آپ پچھلے مہینے امریکا میں تھے؟,Were you in America last month?
ٹام نے اپنا منہ بند رکھا۔,Tom kept his mouth shut.
تمھیں کل کسی نے کال کی تھی؟,Did anybody call on you yesterday?
وہ ہر صبح دوڑتا ہے۔,He goes running every morning.
ہم جلدی نہیں پہنچ گئے؟,"We've arrived pretty quickly, haven't we?"
آسٹریلوی لڑکیاں بہت خوبصورت ہیں۔,Australian women are very beautiful.
اسے کل تک ٹھیک ہو جانا چاہئیے۔,It ought to be fine tomorrow.
وہ دوپہر سے پہلے نظر نہیں آیا۔,He did not appear until about noon.
وہ آج صبح جلدی اٹھا تھا۔,He got up early this morning.
وہ آج صبح جلدی اٹھ گیا تھا۔,He got up early this morning.
اسلام علیکم بل۔ کیا حال ہے تمھارا؟,"Hi, Bill. How are you?"
اسلام علیکم بل۔ کیا حال چال ہے؟,"Hi, Bill. How are you?"
اسلام علیکم بل۔ کیسے مزاج ہے تمھارے؟,"Hi, Bill. How are you?"
ہاں، یہ بڑے آرام سے ہو سکتا ہے۔,"Yes, it can be done very easily."
اسلام علیکم بل۔ کیسے ہو؟,"Hi, Bill. How are you?"
میں سنگاپور سے ہوں۔,I'm from Singapore.
یہ اخبار روزنامہ ہے۔,This is a daily newspaper.
میں کالج میں پڑھتا ہوں۔,I'm a college student.
میں کالج میں پڑھتی ہوں۔,I'm a college student.
میں جامعہ میں پڑھتا ہوں۔,I'm a college student.
میں جامعہ میں پڑھتی ہوں۔,I'm a college student.
میں سٹوڈنٹ ہوں۔,I'm a college student.
کیوٹو میں میرا بھائی استاد بن گیا۔,My brother in Kyoto became a teacher.
اس نے اپنی مرضی سے میری مدد کی۔,She helped me willingly.
اس کی صبح جلدی اٹھنے کی عادت تھی۔,It was his habit to rise early.
وہ اپنے بچوں کا خیال نہیں کرتا۔,He does not take care of his children.
مجھے چائے پسند ہے نہ ہی کافی۔,I don't like either tea or coffee.
پیسے ادھار لینا میرے اصولوں کے خلاف ہے۔,It is against my principles to borrow money.
مجھے آج رات کال کرنا۔,Give me a call tonight.
ابھی بھی بہت ٹھنڈ ہے۔,It is still as cold as ever.
زیارہ دیر نہ لگانا۔,Don't be long.
جلدی واپس آنا۔,Don't be long.
یہ میری کتابیں نہیں ہیں۔,They aren't my books.
ہم اپنے منہ سے کھاتے ہے۔,We eat with our mouths.
اس سائیکل کو مرمت کی ضرورت ہے۔,This bicycle needs repairing.
اس نے ایک نئی کام والی رکھ لی۔,He employed a new maid.
اس نے ایک نئی نوکرانی رکھ لی۔,He employed a new maid.
جلدی کرو۔,"Hurry up, please!"
اسے وکیل ہونا چاہئیے تھا۔,He should have been a lawyer.
مجھے اس آلہ کے لئیے بیٹریاں چاہیئے۔,I would like batteries for this device.
کتاب سفید ہے۔,The book is white.
ہم اپنے پرانے سکول ہو کے آئے۔,We visited our old school.
بینک کتنی دیر تک کھلا ہے؟,How late is the bank open?
تم نے مجھے ڈھونڈا کیسے؟,How did you find me?
آپ نے مجھے ڈھونڈا کیسے؟,How did you find me?
لنکلن الیکشن جیت گیا۔,Lincoln won the election.
ہم کھاتے ہیں زندہ رہنے کے لئیے۔,We eat so that we can live.
تمھارے گھر والے کیسے ہے؟,How's it going with your family?
آپ کے گھر والے کیسے ہے؟,How's it going with your family?
کہنے میں اور کرنے میں بڑا فرق ہے۔,Saying and doing are two different things.
بولنے میں اور کرنے میں بڑا فرق ہے۔,Saying and doing are two different things.
قطع قلامی معاف۔,I'm sorry to disturb you while you're talking.
میرے چاکلیٹ کا ڈبہ کدھر ہے؟,Where's my box of chocolates?
میرے چاکلیٹ کا ڈبہ کہاں ہے؟,Where's my box of chocolates?
میں نے اس سے پوچھ لیا ہے۔,I have asked him.
کھانے کی خوشبو بہت اچھی ہے۔,The dish smells good.
یہ لوگ کون ہے؟,Who are those people?
اس نے میری پیشکش ٹھکرا دی۔,He turned down my offer.
انہوں نے میری پیشکش ٹھکرا دی۔,He turned down my offer.
برائے مہربانی ان کی واپسی تک انتظار فرمائیے۔,Please wait till he comes back.
میرا دل تیزی سے دھڑکنے لگا۔,My heart began to race.
میرا دماغ خراب ہو گیا ہے۔,I must have lost it.
پیرس فرانس کا دارلخلافہ ہے۔,Paris is the capital of France.
بہت محنت والا کام تھا یہ۔,It was real hard work.
ٹام کی عینک ٹوٹ گئ۔,Tom broke his glasses.
پارٹی پہ صرف چھہ لوگ تھے۔,There were only six people at the party.
صرف چھہ لوگ دعوت پہ آئے تھے۔,There were only six people at the party.
میٹنگ پورے چار بجے شروع ہو جائے گی۔,The meeting will start at four o'clock sharp.
مجلس پورے چار بجے شروع ہو جائے گی۔,The meeting will start at four o'clock sharp.
وہ لندن چلا گیا ہے۔,He has gone to London.
وہ لندن جا چکا ہے۔,He has gone to London.
پناہ گزین پل کے نیچے چھپ گئے۔,Refugees hid under the bridge.
بہت خوب۔,"Ah, wonderful."
تم بدل گئے ہو۔,You've changed.
مجھے صرف قینچیاں ملی ہے۔,All I found is a pair of scissors.
ہیرایامہ صاحب بہت اچھے استاد ہے۔,Mr. Hirayama is a very good teacher.
کل موسم کیسا تھا؟,What was the weather yesterday?
کل کا موسم کیسا تھا؟,What was the weather yesterday?
وہ ہوٹل کافی لیٹ پہنچی۔,She got to the hotel late at night.
وہ رات کو دیر سے ہوٹل پہنچی۔,She got to the hotel late at night.
تمھیں ملے ہوئے عرصہ ہو گیا ہے۔,"Long time, no see."
ٹونی کدھر ہے؟,Where's Tony?
کھل جا سم سم۔,Open Sesame!
ٹاٹوئیبا پہ خوش آمدید۔,Welcome to Tatoeba!
تم ٹام کو کتنی اچھی طرح جانتے ہو؟,How well do you know Tom?
لگتا ہے کہ قیمتیں گر رہی ہیں۔,Prices seem to be going down.
بل پہلے لندن میں رہتا تھا، ہے نا؟,"Bell used to live in London, didn't he?"
میں بھی ٹھیک ہوں۔,I'm fine too.
یہ گھر خالی ہے۔,The house is vacant.
ٹام ہیٹر ٹھیک کر سکتا ہے۔,Tom can fix the heater.
ٹام ہیٹر کی مرمت کر سکتا ہے۔,Tom can fix the heater.
تم وہاں کس سے ملے تھے؟,Who did you meet there?
کتاب بند کرو۔,Close your book.
امی کھانا پکا رہی ہے۔,Mother is preparing supper.
امی رات کا کھانا پکا رہی ہے۔,Mother is preparing supper.
اپنی کتاب صفحہ نمبر ۵۹ پہ کھولو۔,Open your book to page 59.
اگر صرف ہمارے پاس ایک باغ ہوتا۔,If only we had a garden!
بہتر ہے کہ تم یہی رک جائو۔,You had far better stay here.
گلاب کے پتے بہت نازک ہوتے ہے۔,A rose's petals are very delicate.
بل میرے سے دو سال بڑا ہے۔,Bill is two years senior to me.
اس گھر میں کون رہتا ہے؟,Who lives in this house?
ہوائی کی شام بہت خوبصورت ہے۔,The evening in Hawaii is very beautiful.
کھانے سے پہلے ہمیشہ ہاتھ دھویا کرو۔,You should always wash your hands before meals.
وہ اس گھر میں رہتا ہے۔,He lives in that house over there.
ان کتابوں کی ہمیشہ بہت مانگ رہتی ہے۔,Those books are always in great demand.
کمپیوٹر میں معلومات کا اندراج کرو۔,Enter the information into the computer.
وہ بیمار تھا، اسی لئیے سارے چپ تھے۔,"He was ill, so they were quiet."
وہ بیمار تھا، اسی لئیے سارے خاموش تھے۔,"He was ill, so they were quiet."
میں نیا سٹوڈنٹ ہوں۔,I'm a new student.
اس ہفتے کو تم کیا کر رہے ہو؟,What'll you be doing over the weekend?
اس ہفتے کو تم کیا کر رہی ہو؟,What'll you be doing over the weekend?
اس ہفتے کو تمہارا کیا سین ہے؟,What'll you be doing over the weekend?
کیا تم پہلی دفعہ جاپان آئے ہو؟,Is this your first time in Japan?
کیا تم پہلی دفعہ جاپان آئی ہو؟,Is this your first time in Japan?
کیا آپ پہلی دفعہ جاپان آئے ہے؟,Is this your first time in Japan?
کیا آپ پہلی دفعہ جاپان آئی ہے؟,Is this your first time in Japan?
تم بیواقوف لگ رہے ہو۔,You look stupid.
ہر مسمی کی قیمت ۷ پینس ہے۔,The oranges cost 7 pence each.
پولینا کے پاس پنک ٹوپی ہے۔,Paulina has a pink cap.
یہ ایڈورڈ ہے۔,This is Edward.
تمہیں کتنی پلیٹیں چاہیے؟,How many plates do you want?
